sha,filename,url,lines,title,comment,priority,category,additional,id,private
"","/src/components/detail/bookInfo.vue","","72:8-75:27","repeated code","Problem: repeated code \nSolution: use another format of css","2","Code-Style","","94767a02-38b6-4ecb-95da-64a0281c3088","0"
"","/src/components/detail/comment.vue","","106:0-108:28","unneeded package","Problem: unneeded code\nSolution: delete unneeded code","2","Performance","","04fc6421-0a11-449c-9ac6-d72b2031119c","0"
"","/src/components/detail/comment.vue","","106:0-107:21","import the whole package","Problem: we don't need the whole package\nSolution: change the import range","3","Performance","","cb03855f-2920-45ca-840f-80620dce3d6a","0"
"","/src/components/detail/comment.vue","","123:15-123:30","unused variable","Problem: unused variable\nSolution: delete the variable","3","Performance","","cf856947-b6b3-4635-9751-fd798da58998","0"
"","/src/components/detail/comment.vue","","205:16-205:28","unneeded variable","Problem: we only need to send request to backend, the result is not used here.\nSolution: delete the variable and remain the method-call","3","Performance","","36dea8e2-faaa-4c4a-88db-caa7f852140e","0"
"","/src/components/detail/comment.vue","","301:12-303:13","meaningless function","Problem & Solution: Use openEditor() as an alternative, which has the same feature","3","Performance","","897437ab-efd3-4f96-a944-9695bcbe248c","0"
"","/src/components/detail/commentEditor.vue","","26:0-26:28","unneeded package","Problem: unneeded package\nSolution: delete unneeded package","3","Performance","","52f1fc48-6534-4089-80e7-f53657cb001a","0"
"","/src/components/detail/commentEditor.vue","","36:12-36:12","unneeded variable","Problem: unneeded variable\nSolution: deleted unneeded variable","3","Performance","","5cbac0ee-2962-4666-87ca-8a9f83f592f4","0"
"","/src/components/login/login.vue","","10:25-10:32","inconsistent variable name","Problem: Variables not properly defined with consistent names.\nSolution: change name: popform => popForm","2","Code-Style","","15bd19e6-3c8a-45c8-b464-0fa19ce196c2","0"
"","/src/components/login/login.vue","","30:0-30:37","unneeded package","Problem: unneeded package\nSolution: delete unneeded package","3","Performance","","4205d3a7-7049-4cf0-908f-1206d30f1fa6","0"
"","/src/components/login/login.vue","","36:16-36:40","unneeded variable","Problem: unneeded variable\nSolution: deleted unneeded variable\n","3","Performance","","ec0290dc-1828-4e85-b813-fc180d76e13f","0"
"","/src/components/login/login.vue","","101:0-147:2","not  consistent in indentation","Problem: the indentation not unified\nSolution: change the indentation","2","Code-Style","","31e95a1b-caf4-4669-b1ff-d15f11025ee4","0"
"","/src/components/login/register.vue","","33:6-33:30","unneeded variable","Problem: unneeded variable\nSolution: deleted unneeded variable\n","3","Performance","","60058f61-6b30-4954-9cfc-a1b343288bd7","0"
"","/src/components/login/register.vue","","35:6-35:25","unneeded variable","Problem: unneeded variable\nSolution: deleted unneeded variable\n","3","Performance","","28b40302-fa51-4db2-bea7-69aee9207543","0"
"","/src/components/review/feedback.vue","","126:50-134:34","repeated code","Problem: reused map function\nSolution: it can be listed in vuex as a shared function.","2","Performance","","bc815618-0c77-4162-b2ee-41fc1f684e0a","0"
"","/src/components/review/feedback.vue","","235:0-235:3","meaning less variable","Problem: the name of variable is meaningless\nSolution: change the name or delete it","2","Code-Style","","7c576163-b5e7-4d16-becc-46deec11c770","0"
"","/src/components/review/pid.vue","","1:0-1:10","file can be merged","Problem: this file is similar to the feedback.vue\nSolution: Create a new vue-File, which merges pid.vue and feedback.vue","2","Performance","","fe6d24e4-99c2-49ba-895a-6c582315f103","0"
"","/src/components/Search/filterPopup.vue","","19:26-19:32","meaningless variable name","Problem: the class name is meaningless\nSolution: rename the class name","2","Code-Style","","d6406bc0-1c91-4701-b6c7-eae092d2b9de","0"
"","/src/components/Search/searchItem.vue","","66:4-66:18","repeated css code","Problem: repeated css code\nSolution: delete the repeated code","2","Performance","","cd6816e2-33be-45b1-8486-5223c344212c","0"
"","/src/components/Search/searchItem.vue","","80:5-81:20","meaningless css code","Problem: unused code since line 80 oparate the same attribute with higher priority\nSolution: delete the code","2","Performance","","e67abfe9-2ab8-43d1-a84d-983074cf4f76","0"
"","/src/plugins/firebase.js","","2:0-2:28"," leftover test routines in the code","Problem: leftover test routines in the code\nSolution: delete the import package","2","Code-Style","","f6b80d20-f717-40a8-bdfc-d9dffee089fe","0"
